timestamp, temp, humi
1555092390.77, 23.170708, 1.538668
1555092391.77, 23.187672, 1.539666
1555092392.77, 23.162121, 1.539473
1555092393.77, 23.173429, 1.539723
1555092394.78, 23.183817, 1.539397
1555092395.78, 23.196770, 1.540350
1555092396.78, 23.183681, 1.539515
1555092397.79, 23.186794, 1.538823
1555092398.79, 23.198641, 1.538318
1555092399.79, 23.189610, 1.538285
1555092400.8, 23.181488, 1.538000
1555092401.8, 23.177799, 1.537903
1555092402.8, 23.187412, 1.538964
1555092403.8, 23.177132, 1.540135
1555092404.81, 23.179047, 1.539775
1555092405.81, 23.180918, 1.540724
1555092406.82, 23.193686, 1.539595
1555092407.82, 23.194950, 1.539413
1555092408.82, 23.183331, 1.538727
1555092409.82, 23.170616, 1.539574
1555092410.83, 23.193254, 1.538722
1555092411.83, 23.182953, 1.538848
1555092412.83, 23.183699, 1.539446
1555092413.84, 23.181593, 1.539298
1555092414.84, 23.195356, 1.538512
1555092415.84, 23.184641, 1.539339
1555092416.85, 23.187853, 1.539285
1555092417.85, 23.194309, 1.539854
1555092418.85, 23.188150, 1.539226
1555092419.85, 23.197517, 1.539087
1555092420.86, 23.189745, 1.538079
1555092421.86, 23.205536, 1.539507
1555092422.86, 23.184916, 1.539208
1555092423.87, 23.193096, 1.538807
1555092424.87, 23.203499, 1.538148
1555092425.87, 23.205122, 1.539373
1555092426.88, 23.204041, 1.538289
1555092427.88, 23.201637, 1.538679
1555092428.88, 23.201477, 1.539015
1555092429.88, 23.211111, 1.538696
1555092430.89, 23.205177, 1.538105
1555092431.89, 23.196764, 1.538698
1555092432.89, 23.180962, 1.538793
1555092433.9, 23.209293, 1.537553
1555092434.9, 23.214027, 1.537933
1555092435.9, 23.211514, 1.538954
1555092436.9, 23.213005, 1.538302
1555092437.91, 23.208687, 1.538432
1555092438.91, 23.199612, 1.538666
1555092439.91, 23.212639, 1.538354
1555092440.92, 23.211300, 1.538514
1555092441.92, 23.207821, 1.538151
1555092442.92, 23.196890, 1.539285
1555092443.93, 23.205130, 1.537600
1555092444.93, 23.216177, 1.539147
1555092445.93, 23.212938, 1.539000
1555092446.94, 23.206350, 1.538514
1555092447.94, 23.202023, 1.540384
1555092448.94, 23.198454, 1.539427
1555092449.95, 23.208242, 1.538799
1555092450.95, 23.218431, 1.538862
1555092451.95, 23.212673, 1.539569
1555092452.96, 23.222042, 1.537560
1555092453.96, 23.217857, 1.539885
1555092454.96, 23.209351, 1.540052
1555092455.96, 23.215145, 1.538349
1555092456.97, 23.213776, 1.538574
1555092457.97, 23.215755, 1.540760
1555092458.97, 23.208012, 1.539960
1555092459.98, 23.211586, 1.539967
1555092460.98, 23.211653, 1.540071
1555092461.98, 23.221914, 1.540034
1555092462.98, 23.212429, 1.539677
1555092463.99, 23.210480, 1.539534
1555092464.99, 23.222507, 1.539460
1555092465.99, 23.209152, 1.538967
1555092467.0, 23.219584, 1.539285
1555092468.0, 23.216623, 1.539415
1555092469.0, 23.216549, 1.540266
1555092470.0, 23.220884, 1.539878
1555092471.01, 23.221321, 1.539404
1555092472.01, 23.218092, 1.539485
1555092473.01, 23.224281, 1.539609
1555092474.01, 23.224644, 1.540440
1555092475.02, 23.218685, 1.540181
1555092476.02, 23.225407, 1.540051
1555092477.02, 23.226665, 1.539343
1555092478.02, 23.235054, 1.539321
1555092479.03, 23.241959, 1.538984
1555092480.03, 23.223763, 1.538958
1555092481.03, 23.225407, 1.540017
1555092482.03, 23.228916, 1.538755
1555092483.04, 23.226000, 1.538443
1555092484.04, 23.229107, 1.539133
1555092485.04, 23.223677, 1.539296
1555092486.05, 23.224840, 1.539271
1555092487.05, 23.229757, 1.539132
1555092488.05, 23.232628, 1.540338
1555092489.06, 23.236290, 1.539245
1555092490.06, 23.236601, 1.539166
1555092491.06, 23.241331, 1.539412
1555092492.06, 23.231419, 1.538996
1555092493.06, 23.240608, 1.540337
1555092494.07, 23.229149, 1.540179
1555092495.07, 23.246553, 1.539415
1555092496.07, 23.251461, 1.539300
1555092497.07, 23.243612, 1.538699
1555092498.08, 23.241133, 1.540515
1555092499.08, 23.237034, 1.540192
1555092500.08, 23.243965, 1.539085
1555092501.09, 23.230972, 1.538958
